,date,cases,deaths,new_cases,new_deaths
161,2020-06-30,2653310,127462,48389,1300
162,2020-07-01,2703294,128104,49984,642
163,2020-07-02,2758851,128827,55557,723
164,2020-07-03,2815374,129417,56523,590
165,2020-07-04,2866013,129679,50639,262
166,2020-07-05,2910780,129941,44767,262
167,2020-07-06,2958091,130332,47311,391
168,2020-07-07,3012252,131290,54161,958
169,2020-07-08,3071711,132238,59459,948
170,2020-07-09,3131601,133079,59890,841
171,2020-07-10,3199837,133907,68236,828
172,2020-07-11,3260565,134582,60728,675
173,2020-07-12,3318347,134977,57782,395
174,2020-07-13,3379932,135402,61585,425
175,2020-07-14,3445507,136356,65575,954
176,2020-07-15,3513892,137327,68385,971
177,2020-07-16,3589589,138285,75697,958
178,2020-07-17,3660512,139186,70923,901
179,2020-07-18,3722966,139961,62454,775
180,2020-07-19,3785241,140373,62275,412
181,2020-07-20,3845124,140904,59883,531
182,2020-07-21,3910398,142031,65274,1127
